iter	MultiClass
0	2.36641957
1	2.231555606
2	2.142414398
3	2.068224445
4	1.999834669
5	1.936240188
6	1.876872464
7	1.824128801
8	1.774285528
9	1.7245406
10	1.691722699
11	1.664466385
12	1.635007915
13	1.601770571
14	1.572961883
15	1.542540499
16	1.518334711
17	1.49449145
18	1.472876839
19	1.45032297
20	1.428080619
21	1.409965396
22	1.385006526
23	1.367425084
24	1.349182545
25	1.332447105
26	1.314620831
27	1.287232021
28	1.262834838
29	1.241790889
30	1.229320264
31	1.216747827
32	1.200342797
33	1.188004442
34	1.175419362
35	1.161922308
36	1.14920496
37	1.138211994
38	1.122436804
39	1.108397031
40	1.094159544
41	1.082636392
42	1.072455199
43	1.062525292
44	1.048897962
45	1.041625198
46	1.032781777
47	1.024800944
48	1.015722847
49	1.002460429
50	0.9947418871
51	0.987787421
52	0.9796207736
53	0.9726910421
54	0.9655662365
55	0.9589450903
56	0.9516012205
57	0.9435840717
58	0.9367264083
59	0.9273173813
60	0.9207364829
61	0.9149886451
62	0.9104215807
63	0.9038163034
64	0.8958083967
65	0.8892066673
66	0.8831606205
67	0.8772106379
68	0.8707118771
69	0.8657109288
70	0.8578388655
71	0.8526533892
72	0.8479532624
73	0.8433986503
74	0.8383618063
75	0.8314040328
76	0.8238769788
77	0.8190279551
78	0.8116998059
79	0.8071261626
80	0.8023141045
81	0.7978891272
82	0.7931669376
83	0.7893404282
84	0.7851991054
85	0.7809126914
86	0.7766357534
87	0.7727926398
88	0.7689710972
89	0.7642236348
90	0.7610480831
91	0.7566639666
92	0.7531443117
93	0.7493870824
94	0.7467231103
95	0.7431688485
96	0.7393707095
97	0.7353245251
98	0.7319480363
99	0.7284474118
100	0.7252077685
101	0.7215589136
102	0.7160743534
103	0.7125267666
104	0.7074795794
105	0.7032509953
106	0.6995823258
107	0.6967435075
108	0.6932481711
109	0.6898925802
110	0.6881578209
111	0.6848043267
112	0.6815257273
113	0.6788776125
114	0.6761270957
115	0.6738612491
116	0.6714189929
117	0.6684757903
118	0.6656527814
119	0.6627085921
