iter	Passed	Remaining
0	125	124942
1	171	85436
2	215	71737
3	254	63360
4	291	58034
5	330	54765
6	368	52313
7	406	50429
8	447	49273
9	488	48362
10	526	47313
11	565	46582
12	604	45901
13	643	45299
14	695	45676
15	740	45520
16	789	45646
17	832	45419
18	879	45405
19	919	45062
20	958	44672
21	998	44394
22	1038	44123
23	1082	44021
24	1122	43775
25	1159	43452
26	1200	43246
27	1238	43005
28	1279	42850
29	1317	42592
30	1358	42457
31	1396	42238
32	1434	42037
33	1472	41841
34	1512	41698
35	1551	41542
36	1589	41382
37	1634	41367
38	1675	41281
39	1715	41178
40	1755	41066
41	1801	41096
42	1844	41040
43	1884	40949
44	1926	40883
45	1968	40820
46	2008	40718
47	2046	40586
48	2086	40498
49	2126	40411
50	2165	40297
51	2208	40268
52	2247	40161
53	2285	40040
54	2326	39965
55	2364	39858
56	2402	39743
57	2439	39628
58	2482	39596
59	2524	39550
60	2569	39556
61	2612	39530
62	2657	39531
63	2707	39596
64	2749	39557
65	2786	39434
66	2827	39375
67	2868	39314
68	2907	39227
69	2947	39160
70	2986	39083
71	3025	38993
72	3063	38902
73	3103	38841
74	3143	38774
75	3183	38702
76	3223	38636
77	3261	38551
78	3298	38452
79	3336	38366
80	3374	38291
81	3414	38221
82	3454	38168
83	3497	38136
84	3543	38141
85	3582	38069
86	3621	38008
87	3663	37969
88	3704	37917
89	3743	37852
90	3783	37796
91	3822	37729
92	3863	37680
93	3901	37601
94	3938	37521
95	3978	37461
96	4016	37389
97	4055	37329
98	4093	37257
99	4133	37204
100	4171	37134
101	4209	37063
102	4249	37008
103	4289	36952
104	4327	36883
105	4366	36829
106	4405	36767
107	4450	36759
108	4495	36746
109	4538	36719
110	4576	36650
111	4619	36624
112	4658	36566
113	4695	36496
114	4736	36449
115	4777	36410
116	4820	36377
117	4859	36324
118	4897	36256
119	4937	36211
120	4977	36159
121	5015	36095
122	5055	36049
123	5095	35995
124	5136	35954
125	5175	35899
126	5214	35845
127	5252	35780
128	5291	35727
129	5329	35668
130	5373	35645
131	5415	35610
132	5457	35577
133	5496	35523
134	5533	35455
135	5575	35423
136	5614	35365
137	5651	35303
138	5692	35263
139	5731	35207
140	5771	35162
141	5813	35124
142	5852	35074
143	5890	35014
144	5929	34961
145	5967	34907
146	6006	34851
147	6046	34808
148	6085	34756
149	6124	34707
150	6162	34648
151	6202	34604
152	6240	34545
153	6279	34496
154	6322	34467
155	6375	34492
156	6424	34497
157	6480	34533
158	6520	34486
159	6563	34456
160	6605	34420
161	6643	34368
162	6688	34342
163	6729	34302
164	6768	34250
165	6807	34199
166	6844	34142
167	6885	34101
168	6925	34053
169	6965	34006
170	7007	33969
171	7043	33909
172	7081	33852
173	7119	33796
174	7158	33745
175	7197	33698
176	7239	33663
177	7282	33628
178	7320	33578
179	7364	33550
180	7404	33506
181	7445	33461
182	7484	33414
183	7527	33383
184	7568	33341
185	7606	33289
186	7644	33237
187	7681	33179
188	7720	33128
189	7759	33081
190	7798	33031
191	7837	32983
192	7880	32952
193	7920	32908
194	7959	32857
195	7998	32808
196	8038	32764
197	8076	32713
198	8114	32663
199	8152	32611
200	8200	32597
201	8251	32596
202	8295	32570
203	8357	32612
204	8444	32746
205	8531	32885
206	8578	32864
207	8624	32838
208	8673	32828
209	8715	32786
210	8759	32756
211	8805	32730
212	8847	32691
213	8888	32647
214	8931	32611
215	8969	32557
216	9009	32509
217	9048	32457
218	9086	32405
219	9134	32386
220	9185	32379
221	9225	32331
222	9265	32285
223	9305	32236
224	9344	32188
225	9385	32142
226	9424	32093
227	9464	32048
228	9504	32000
229	9544	31954
230	9582	31899
231	9623	31857
232	9663	31811
233	9702	31759
234	9740	31709
235	9778	31657
236	9820	31614
237	9867	31592
238	9913	31564
239	9960	31542
240	10005	31510
241	10061	31513
